Subnet Name,Subnet Title,Subnet Number,Description,Category,Website Link,Dashboard Link,Applications,Whitepaper Link,Twitter Link,Github Link
Pre-training LLMs,Pre-Training,9,"Pre-Training is dedicated to the creation of SOTA pretrained foundation models, rewarding contributors for achieving top performance on selected open datasets. Functioning as a continuous benchmark, the models that excel in head-to-head loss comparisons on evaluation data receive the highest rewards. The subnet has successfully developed models with 700 million and 7 billion parameters that outperform industry-leading counterparts like GPT-2 Large and Falcon-7B.
",AI Model Development,https://www.macrocosmos.ai/sn9,https://www.macrocosmos.ai/sn9/dashboard,,https://www.macrocosmos.ai/research/pretraining_whitepaper.pdf,https://x.com/MacrocosmosAI,https://github.com/macrocosm-os/pretraining
Distributed Training,Coldint,29,"Coldint is dedicated to the collective training of AI models by incentivizing contributors to collaborate on models, code, and insights.",AI Model Development,https://coldint.io/,https://coldint.io/leaderboard/,,,,https://github.com/coldint/sn29
Optimizing Models for Consumer Devices,EdgeMaxxing,39,"EdgeMaxxing is focused on optimizing AI models for consumer devices, starting with Stable Diffusion XL on the NVIDIA GeForce RTX 4090. By optimizing popular models for edge devices, the subnet aims to transform idle computing resources into valuable contributors to decentralized inference networks.",AI Model Development,https://www.w.ai/,https://huggingface.co/spaces/wombo/edge-optimization-subnet-leaderboard,,,https://x.com/WOMBO,https://github.com/womboai/edge-optimization-subnet
Roleplay LLMs,Dippy,11,"Dippy is focused on developing open-source roleplay LLMs. Contributors train, fine-tune, or merge models to create unique roleplay LLMs. These models are then evaluated and ranked based on specific metrics like empathy and conciseness.",AI Model Development,,,Dippy == https://bittensor.dippy.ai/play,,https://x.com/dippy_ai,https://github.com/impel-intelligence/dippy-bittensor-subnet
Multimodal ,OMEGA Any-to-Any,21,"OMEGA Any-to-Any specializes in developing SOTA multimodal models that excel across text, video, audio, and image modalities.",AI Model Development,https://OMEGA-labs.ai/,,OMEGA == https://sn21.OMEGA.inc/,https://bittensor.OMEGA.inc/,https://x.com/OMEGAlabsai,https://github.com/OMEGAlabsinc/OMEGAlabs-anytoany-bittensor
Fine-tuning LLMs,Fine-Tuning,37,"Fine-Tuning is focused on the production of fine-tuned models. Contributors are rewarded based on their models' head-to-head scores, with evaluations based on a continuous stream of synthetic data generated by the top LLMs. The evaluation data setup helps reduce the potential of the benchmark being gamed.",AI Model Development,https://www.macrocosmos.ai/sn37,https://huggingface.co/spaces/macrocosm-os/finetuning-leaderboard,,,https://x.com/MacrocosmosAI,https://github.com/macrocosm-os/finetuning
Text-to-Speech,MyShell TTS,3,"MyShell TTS is focused on creating text-to-speech (TTS) models. The initial goal is to develop models that can accurately imitate specific voices, with rotating challenges introducing new voices. The long-term aim is to build a fast-clone model adaptable to various speakers.",AI Model Development,,https://huggingface.co/spaces/myshell-test/tts-subnet-leaderboard,BittAudio == https://app.myshell.ai/robot-workshop/widget/1788537048029802496,,https://x.com/myshell_ai,https://github.com/myshell-ai/MyShell-TTS-Subnet
Mathematics & Data Analysis,LogicNet,35,LogicNet focuses on developing open-source mathematics and detailed data analysis models.,AI Model Development,,,,https://tonylvh.notion.site/LogicNet_SN35-1b44e52d308f47e7983af25bff6df90e,,https://github.com/LogicNet-Subnet/LogicNet
LLM Evaluations,De-Val,15,"De-Val is focused on providing objective and reliable evaluations of LLM outputs, identifying issues like hallucinations, misattributions, relevancy, and summary completeness.",AI Model Development,https://www.de-val.ai/,,,https://www.de-val.ai/pitch_deck,,https://github.com/deval-core/De-Val
Multimodal Data Collection,OMEGA Labs,24,"OMEGA Labs incentivizes the collection of open multimodal data to accelerate AGI research and development. Contributors capture videos with metadata such as title, tags, and descriptions, obtain ImageBind embeddings for video, audio, and captions, and upload them, creating one of the largest open-source multimodal datasets.",AI Data Pipeline,https://dataset.OMEGAtron.ai/,https://huggingface.co/datasets/OMEGAlabsinc/OMEGA-multimodal,,,https://x.com/OMEGAlabsai,https://github.com/OMEGAlabsinc/OMEGAlabs-bittensor-subnet
Data Scraping and Storage,Dataverse,13,"Dataverse is focused on distributed data scraping to create datasets for training and other applications. It directs contributors to specific data sources for scraping and incentivizes them to store the data, ensuring easy retrieval and accessibility.",AI Data Pipeline,https://www.macrocosmos.ai/sn13,https://app.databox.com/datawall/7db4e4fe086a0c224f988d3b7e7dc402345c20466571a84?itemId=1456301,,,https://x.com/MacrocosmosAI,https://github.com/macrocosm-os/data-universe/
Data Structuring,ReadyAI,33,"ReadyAI is focused on data structuring, incentivizing the transformation of unstructured data from sources like videos, podcasts, text, and images into structured formats suitable for training AI models.",AI Data Pipeline,https://conversations.xyz/,,,,https://x.com/ConversationGen,https://github.com/afterpartyai/bittensor-conversation-genome-project
Chunking and RAG,Chunking,40,"Chunking is focused on advancing Retrieval-Augmented Generation (RAG). The subnet incentivizes the creation, hosting, and serving of intelligent chunking systems that optimize intrachunk similarity and interchunk dissimilarity, enhancing the efficiency and accuracy of data retrieval and processing.",AI Data Pipeline,https://vectorchat.ai/,https://subnet.chunking.com/,,https://x.vectorchat.ai/chunking_pitch_deck.pdf,https://x.com/chunking_subnet,https://github.com/VectorChat/chunking_subnet
Data Scraping,Masa,42,"Masa focuses on decentralized data scraping, offering an alternative to traditional centralized services like BrightData and Apify.",AI Data Pipeline,,,,https://developers.masa.ai/docs/masa-subnet/welcome,https://x.com/getmasafi,
